Sum of students_enrolled_courser,Column Labels,,,,
Row Labels,Advanced,Beginner,Intermediate,Mixed,Grand Total
Machine Learning,,,290000,3200000,3490000
The Science of Well-Being,,,,2500000,2500000
Python for Everybody,,1500000,,,1500000
Programming for Everybody (Getting Started with Python),,,,1300000,1300000
Data Science,,830000,,,830000
Career Success,,790000,,,790000
English for Career Development,,,,760000,760000
Successful Negotiation: Essential Strategies and Skills,,,,750000,750000
Data Science: Foundations using R,,740000,,,740000
Deep Learning,,,690000,,690000
Neural Networks and Deep Learning,,,630000,,630000
Improve Your English Communication Skills,,610000,,,610000
Academic English: Writing,,540000,,,540000
Business Foundations,,510000,,,510000
Excel to MySQL: Analytic Techniques for Business,,490000,,,490000
R Programming,,,480000,,480000
IBM Data Science,,480000,,,480000
Applied Data Science with Python,,,480000,,480000
Financial Markets,,470000,,,470000
Project Management & Other Tools for Career Development,,440000,,,440000
"Speak English Professionally: In Person, Online & On the Phone",,,,430000,430000
Grammar and Punctuation,,,,430000,430000
The Data Scientist’s Toolbox,,,,420000,420000
Python Data Structures,,,,420000,420000
First Step Korean,,400000,,,400000
Introduction to Data Science in Python,,,390000,,390000
Java Programming and Software Engineering Fundamentals,,380000,,,380000
Digital Marketing,,380000,,,380000
SAS Programmer,,370000,,,370000
Stanford Introduction to Food and Health,,370000,,,370000
Introduction to Philosophy,,,,370000,370000
Google IT Support,,350000,,,350000
AI For Everyone,,350000,,,350000
Competitive Strategy and Organization Design,,,350000,,350000
Camino a la Excelencia en Gestión de Proyectos,,340000,,,340000
Object Oriented Programming in Java,,330000,,,330000
The Singer Songwriter,,320000,,,320000
Advanced Data Science with IBM,320000,,,,320000
A Life of Happiness and Fulfillment,,,,320000,320000
Marketing in a Digital World,,310000,,,310000
Using Python to Access Web Data,,,,310000,310000
Modern Art & Ideas,,310000,,,310000
Finanzas personales,,,,310000,310000
Introduction to Data Science,,310000,,,310000
Architecting with Google Compute Engine,,,310000,,310000
Cloud Engineering with Google Cloud,,,310000,,310000
Security in Google Cloud Platform,,,300000,,300000
Developing Applications with Google Cloud Platform,,,300000,,300000
Networking in Google Cloud,,,290000,,290000
Fundamentals of Graphic Design,,290000,,,290000
Web Design for Everybody: Basics of Web Development & Coding,,280000,,,280000
Technical Support Fundamentals,,280000,,,280000
Primeros Auxilios Psicológicos (PAP),,,,280000,280000
Mastering Data Analysis in Excel,,,,280000,280000
Business Analytics,,280000,,,280000
Write Professional Emails in English,,,,270000,270000
Introductory Human Physiology,,,,270000,270000
Introduction to Psychology,,270000,,,270000
Introduction to Mathematical Thinking,,,270000,,270000
Introduction to Programming with MATLAB,,270000,,,270000
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",,270000,,,270000
An Introduction to Programming the Internet of Things (IOT),,270000,,,270000
